name,ticker,industry
Agilent Technologies,A,Electrical Test Equipment
Alcoa,AA,Metal Production & Distribution
Advanced Accelerator Applications S.A,AAAP,Medical - Drug Manufacturing
Ares Acquisition,AAC,Unclassified
ATA,AACG,Schools
Artius Acquisition,AACQ,Unclassified
Arlington Asset Investment Corp,AAIC,REIT - Mortgage Trusts
American Airlines Group,AAL,Transportation - Airlines
Altisource Asset Management Corp,AAMC,Finance - Investment Management
Atlantic American,AAME,Insurance - Accident & Health
Aaron's,AAN,Consumer Products - Miscellaneous Staples
Applied Optoelectronics,AAOI,Semiconductors
AAON,AAON,Building Products - Air Conditioning & Heating
Advance Auto Parts,AAP,Retail & Wholesale Auto Parts
Apple,AAPL,Computers - Minicomputers
American Assets Trust,AAT,REIT - Retail Equity Trusts
Almaden Minerals,AAU,Gold Miners
Atlas Air Worldwide Holdings,AAWW,Transportation - Air Freight
AllianceBernstein Holding,AB,Finance - Investment Management
ABB,ABB,Electrical Machinery
AbbVie,ABBV,Large Cap Pharmaceutical
AmerisourceBergen,ABC,Medical & Dental Supplies
Ameris Bancorp,ABCB,Banks - Southeast
AbCellera Biologics,ABCL,Medical - Biomedical and Genetics
Abcam,ABCM,Medical Instruments Manufacturing
Abeona Therapeutics,ABEO,Medical - Biomedical and Genetics
Ambev S.A,ABEV,Alcoholic Beverages
Asbury Automotive,ABG,Retail and Wholesale Auto & Truck
ABG Acquisition I,ABGI,Unclassified
ARCA Biopharma,ABIO,Medical - Biomedical and Genetics
ABM Industries,ABM,Building - Maintenance and Services
ABIOMED,ABMD,Medical Instruments Manufacturing
Airbnb,ABNB,Internet Content
Arbor Realty Trust,ABR,REIT - Other Equity Trusts
Absolute Software,ABST,Security
Abbott Laboratories,ABT,Medical Products Manufacturing
Allegiance Bancshares,ABTX,Banks - Southeast
Arbutus Biopharma,ABUS,Medical - Biomedical and Genetics
Associated Capital,AC,Finance - Investment Management
Arcosa,ACA,Building & Construction Products - Misc.
Acies Acquisition,ACAC,Unclassified
ACADIA Pharmaceuticals,ACAD,Medical - Biomedical and Genetics
Aurora Cannabis,ACB,Medical Products Manufacturing
Atlantic Capital Bancshares,ACBI,Banks - Northeast
American Campus Communities Inc,ACC,REIT - Residential Equity Trusts
Accolade,ACCD,Technology Services
Acco Brands,ACCO,Office Supplies and Forms
Accel Entertainment,ACEL,Gaming
Opexa Therapeutics,ACER,Medical - Drug Manufacturing
Adicet Bio,ACET,Medical - Biomedical and Genetics
ACE Convergence Acquisition,ACEV,Semiconductors
Arch Capital Group,ACGL,"Property, Casualty and Title Insurance"
Aluminum Of China,ACH,Mining - Non-Ferrous
Acadia Healthcare,ACHC,Medical - Hospitals
Achilles Therapeutics,ACHL,Medical - Biomedical and Genetics
Achieve Life Sciences,ACHV,Medical - Drug Manufacturing
Albertsons,ACI,Consumer Products - Misc. Discretionary
Atlas Crest Investment,ACIC,Unclassified
Atlas Crest Investment II,ACII,Unclassified
AC Immune SA,ACIU,Medical - Biomedical and Genetics
ACI Worldwide,ACIW,Computer Software
Axcelis Technologies,ACLS,Electronics - Manufacturing Machinery
AECOM,ACM,Engineering - Research & Development Services
ACM Research,ACMR,Containers - Paper & Plastic
Accenture,ACN,Consulting Services
ACNB,ACNB,Banks - Southwest
Ascendant Digital Acquisition,ACND,Unclassified
Acorda Therapeutics,ACOR,Medical - Biomedical and Genetics
ACRES Commercial Realty,ACR,REIT - Mortgage Trusts
Ares Commercial Real Estate,ACRE,REIT - Mortgage Trusts
Aclaris Therapeutics,ACRS,Medical - Drug Manufacturing
AcelRx Pharmaceuticals,ACRX,Medical - Drug Manufacturing
Acasti Pharma,ACST,Medical - Generic Drugs
ArcLight Clean Transition,ACTC,Auto Manufacturers - Domestic
Acacia Research,ACTG,Business Services
Acme United,ACU,Consumer Products - Misc. Discretionary
ACV Auctions,ACVA,Internet Commerce
AeroCentury,ACY,Finance - Leasing Companies
Adagene,ADAG,Medical - Biomedical and Genetics
Adaptimmune Therapeutics,ADAP,Medical - Biomedical and Genetics
Adobe,ADBE,Computer Software
