ticker,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2
AAPL,134.16,66.36,145.09,3.94,36.16,3.71,2.77,0.81,0.6,82.09,73.69,1.5,1.51
ADBE,525.08,325.21,536.88,28.34,45.74,11.48,2.19,0.0,0.0,46.36,44.21,0.34,0.34
ADDYY,166.9,102.27,184.84,19.82,151.73,1.1,0.66,0.0,0.0,6.52,6.52,0.72,0.72
AMC,9.33,1.91,20.36,-6.41,-0.24,-39.15,-419.61,0.03,0.32,0.0,0.0,0.0,0.0
AMD,82.15,48.42,99.23,4.81,39.88,2.06,2.51,0.0,0.0,57.48,57.48,0.09,0.09
AMZN,3399.44,2256.38,3552.25,185.28,81.27,41.83,1.23,0.0,0.0,27.44,27.44,0.9,0.9
ASML,645.69,275.96,653.0,39.89,76.14,8.48,1.31,2.54,0.39,26.86,26.86,0.34,0.34
ATVI,96.48,62.34,104.53,19.41,34.21,2.82,2.92,0.41,0.42,15.78,15.78,0.24,0.24
BABA,238.69,189.53,319.32,52.83,4.15,57.52,24.1,0.0,0.0,18.91,23.93,0.11,0.18
BAC,39.15,20.1,40.38,29.07,20.94,1.87,4.78,0.72,1.84,6.73,6.73,1.06,1.06
BK,46.07,31.24,49.13,47.05,12.03,3.83,8.31,1.24,2.69,8.63,8.63,0.69,0.69
BNTX,151.54,38.88,152.32,6.81,2525.67,0.06,0.04,0.0,0.0,-61.0,0.0,0.19,0.0
BRK.B,272.11,167.04,272.97,193.13,15.3,17.78,6.53,0.0,0.0,9.8,9.8,0.26,0.26
BYND,137.31,75.33,221.0,5.83,-161.54,-0.85,-0.62,0.0,0.0,-14.05,-14.05,0.03,0.03
CRM,231.91,148.0,284.5,45.05,52.95,4.38,1.89,0.0,0.0,10.8,10.8,0.13,0.13
CSIQ,44.11,15.83,67.39,26.6,12.86,3.43,7.78,0.0,0.0,14.7,13.11,0.57,0.46
CVAC,109.29,36.15,151.8,4.88,-185.24,-0.59,-0.54,0.0,0.0,-14.05,0.0,0.04,0.0
DIS,187.26,98.86,203.02,46.31,-68.34,-2.74,-1.46,0.0,0.0,-5.7,-3.32,0.63,0.63
EA,141.05,110.15,150.3,27.69,34.74,4.06,2.88,0.17,0.12,15.51,47.51,0.05,0.05
ENPH,150.01,34.34,229.04,3.57,157.91,0.95,0.63,0.0,0.0,35.44,35.44,0.01,0.01
ETSY,219.99,59.76,251.86,5.89,81.78,2.69,1.22,0.0,0.0,63.9,63.9,1.49,1.49
FB,306.18,168.34,315.88,45.15,30.34,10.09,3.3,0.0,0.0,25.42,25.42,0.08,0.08
FVRR,216.17,29.68,336.0,9.64,-469.93,-0.46,-0.21,0.0,0.0,-5.99,-5.99,1.07,1.07
FLGT,90.5,12.36,189.89,19.64,10.16,8.91,9.85,0.0,0.0,65.72,65.72,0.0,0.0
GE,13.39,5.48,14.41,4.05,23.09,0.58,4.33,0.04,0.3,16.38,16.38,1.98,1.98
GME,154.69,3.77,483.0,6.24,-46.73,-3.31,-2.14,0.0,0.0,-41.08,-41.08,1.54,1.54
GOOG,2297.76,1209.71,2306.6,330.12,39.2,58.61,2.55,0.0,0.0,19.0,19.0,0.11,0.11
HUBS,521.18,133.89,547.47,16.46,-274.31,-1.9,-0.36,0.0,0.0,-12.04,-12.04,0.98,0.98
INTC,64.75,43.61,68.49,19.9,13.11,4.94,7.63,1.32,2.04,26.36,26.36,0.42,0.42
INTU,415.82,246.42,423.74,32.38,63.0,6.6,1.59,2.24,0.54,27.74,41.24,0.27,0.44
JBL,54.44,23.05,54.75,14.04,22.59,2.41,4.43,0.32,0.59,19.23,2.92,1.43,1.65
JD,77.04,40.59,108.29,18.48,4.17,18.48,23.99,0.0,0.0,25.36,17.21,0.15,0.19
JNJ,162.24,133.65,173.65,24.04,29.44,5.51,3.4,3.98,2.45,23.97,23.97,0.52,0.52
KO,53.68,43.2,54.93,4.48,29.99,1.79,3.33,1.64,3.06,40.48,40.48,2.08,2.08
LOGI,113.45,45.74,118.71,12.44,20.7,5.48,4.83,0.86,0.76,55.03,33.74,0.01,0.01
MA,386.17,244.1,389.5,6.43,60.62,6.37,1.65,2.04,0.53,104.38,104.38,1.88,1.88
MASI,245.74,194.3,284.86,25.59,59.36,4.14,1.68,0.0,0.0,18.66,18.66,0.02,0.02
MCD,233.08,167.85,234.26,-10.49,36.94,6.31,2.71,5.04,2.16,0.0,0.0,0.0,0.0
MSFT,260.74,166.11,261.0,17.27,38.86,6.71,2.57,2.09,0.8,42.7,40.14,0.49,0.57
MRNA,170.81,43.11,189.26,6.39,-87.15,-1.96,-1.15,0.0,0.0,-39.99,-39.99,0.08,0.08
NFLX,546.54,393.6,593.29,24.98,89.89,6.08,1.11,0.0,0.0,29.62,29.62,1.43,1.43
NKE,134.31,84.11,147.95,7.55,63.06,2.13,1.59,1.04,0.77,32.69,29.7,1.04,1.53
NTDOY,74.85,50.43,82.55,16.73,0.16,460.57,615.32,205.16,274.09,27.14,17.53,0.0,0.0
NVAX,227.35,16.41,331.68,8.49,-31.27,-7.27,-3.2,0.0,0.0,-189.6,-189.6,0.58,0.58
NVDA,636.5,267.11,648.57,27.25,92.25,6.9,1.08,0.64,0.1,29.78,29.78,0.39,0.39
NXPI,199.38,80.46,216.43,32.44,1107.67,0.18,0.09,1.5,0.75,0.57,0.57,0.85,0.85
ORCL,78.95,50.86,79.34,3.09,18.93,4.17,5.28,0.96,1.22,110.91,59.87,7.14,5.73
PFE,38.57,29.95,43.08,11.34,22.56,1.71,4.43,1.52,3.94,15.22,15.22,0.56,0.56
PLNT,88.3,45.87,90.34,-8.15,-464.74,-0.19,-0.22,0.0,0.0,0.0,0.0,0.0,0.0
PYPL,269.87,107.41,309.14,17.05,76.23,3.54,1.31,0.0,0.0,22.77,22.77,0.45,0.45
QCOM,138.21,71.75,167.94,6.5,23.67,5.84,4.23,2.57,1.86,113.14,94.63,2.06,2.51
RGEN,213.3,102.13,228.84,27.92,192.16,1.11,0.52,0.0,0.0,4.63,4.63,0.02,0.02
SE,252.42,50.35,285.0,6.51,-86.45,-2.92,-1.16,0.0,0.0,-138.26,-318.25,2.81,1.3
SBUX,118.34,70.65,118.5,-6.72,207.61,0.57,0.48,1.68,1.42,0.0,0.0,0.0,0.0
SEDG,258.71,85.69,377.0,21.05,97.26,2.66,1.03,0.0,0.0,14.79,14.79,0.58,0.58
SONY,111.1,61.35,118.5,39.94,0.13,863.19,776.95,49.87,44.89,22.39,14.79,0.19,0.23
SPOT,292.02,136.62,387.44,17.62,-94.2,-3.1,-1.06,0.0,0.0,-24.0,-24.0,0.21,0.21
SSTK,99.98,33.45,104.57,11.64,50.75,1.97,1.97,0.68,0.68,19.14,19.14,0.1,0.1
TCEHY,81.0,50.9,99.4,11.22,4.9,16.52,20.4,1.11,1.37,28.13,28.13,0.35,0.35
TER,129.48,56.42,147.9,13.27,30.25,4.28,3.31,0.4,0.31,42.49,42.49,0.19,0.19
TSLA,739.78,134.76,900.4,23.15,1155.91,0.64,0.09,0.0,0.0,4.78,4.78,0.49,0.49
TTD,718.86,212.5,972.8,21.32,145.22,4.95,0.69,0.0,0.0,29.81,29.81,0.25,0.25
TTWO,178.8,118.01,214.91,27.39,41.87,4.27,2.39,0.0,0.0,17.74,17.66,0.05,0.06
TWTR,70.12,25.05,80.75,9.98,-48.69,-1.44,-2.05,0.0,0.0,-13.62,-13.62,0.43,0.43
U,100.74,65.11,174.94,7.33,-60.69,-1.66,-1.65,0.0,0.0,-32.37,-32.37,0.05,0.05
