date,price,eps,pe,ticker
2021-04-16,134.16,$3.69,36.33,AAPL
2020-12-31,132.49,$3.69,35.88,AAPL
2020-09-30,115.44,$3.26,35.41,AAPL
2020-06-30,90.74,$3.29,27.6,AAPL
2020-03-31,63.08,$3.19,19.79,AAPL
2019-12-31,72.67,$3.17,22.96,AAPL
2019-09-30,55.27,$2.96,18.65,AAPL
2019-06-30,48.65,$2.93,16.59,AAPL
2019-03-31,46.51,$2.97,15.65,AAPL
2018-12-31,38.46,$3.04,12.65,AAPL
2018-09-30,54.85,$2.97,18.48,AAPL
2018-06-30,44.82,$2.76,16.25,AAPL
2018-03-31,40.46,$2.59,15.62,AAPL
2017-12-31,40.65,$2.43,16.71,AAPL
2017-09-30,36.89,$2.30,16.04,AAPL
2017-06-30,34.33,$2.20,15.61,AAPL
2017-03-31,34.11,$2.14,15.96,AAPL
2016-12-31,27.38,$2.09,13.12,AAPL
2016-09-30,26.59,$2.07,12.86,AAPL
2016-06-30,22.36,$2.14,10.45,AAPL
2016-03-31,25.34,$2.25,11.27,AAPL
2015-12-31,24.34,$2.36,10.34,AAPL
2015-09-30,25.32,$2.30,11.01,AAPL
2021-04-16,525.08,$11.49,45.7,ADBE
2021-02-28,459.67,$11.49,40.01,ADBE
2020-11-30,478.47,$10.84,44.14,ADBE
2020-08-31,513.39,$7.94,64.66,ADBE
2020-05-31,386.6,$7.58,51.0,ADBE
2020-02-29,345.12,$6.60,52.29,ADBE
2019-11-30,309.53,$6.00,51.59,ADBE
2019-08-31,284.51,$5.63,50.53,ADBE
2019-05-31,270.9,$5.36,50.54,ADBE
2019-02-28,262.5,$5.40,48.61,ADBE
2018-11-30,250.89,$5.21,48.16,ADBE
2018-08-31,263.51,$4.84,54.44,ADBE
2018-05-31,249.28,$4.34,57.44,ADBE
2018-02-28,209.13,$3.76,55.62,ADBE
2017-11-30,181.47,$3.39,53.53,ADBE
2017-08-31,155.16,$3.19,48.64,ADBE
2017-05-31,141.86,$2.89,49.09,ADBE
2017-02-28,118.34,$2.62,45.17,ADBE
2016-11-30,102.81,$2.32,44.31,ADBE
2016-08-31,102.31,$1.96,52.2,ADBE
2016-05-31,99.47,$1.76,56.52,ADBE
2016-02-29,85.15,$1.57,54.24,ADBE
2015-11-30,91.46,$1.24,73.76,ADBE
2021-04-16,9.33,$-34.80,0.0,AMC
2020-09-30,4.71,$-34.80,0.0,AMC
2020-06-30,4.29,$-26.92,0.0,AMC
2020-03-31,3.16,$-21.37,0.0,AMC
2019-12-31,7.19,$-1.74,0.0,AMC
2019-09-30,10.38,$-1.18,0.0,AMC
2019-06-30,8.89,$-1.47,0.0,AMC
2019-03-31,13.9,$-1.47,0.0,AMC
