ticker,name,industry,Annual,nYear,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EY avg,EY std,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,Revenue GR 3Y avg,Revenue GR 5Y avg,Revenue GR 10Y avg,NP GR 3Y avg,NP GR 5Y avg,NP GR 10Y avg,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,check Revenue GR,check NP,check EPS GR,check OCF,neg Revenue GR,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end
AAPL,Apple,Computers - Minicomputers,2020-09-01,10,134.16,66.36,145.09,3.94,36.16,3.71,2.77,0.81,0.6,82.09,73.69,1.5,1.51,10.34,36.33,23.34,16.22,7.31,6.94,1.91,4.55,5.54,6.94,1.41,1.1,1.4,1.41,20.2,6.19,3.27,15.46,1.46,15.15,0.0,12.52,7.31,19.75,0,1,0,1,2+5,+,2+5+8,+,108249,274515,0.99,3.28,37529,80674
ADBE,Adobe,Computer Software,2020-11-01,10,525.08,325.21,536.88,28.34,45.74,11.48,2.19,0.0,0.0,46.36,44.21,0.34,0.34,40.01,73.76,56.89,60.29,22.1,2.43,1.59,2.09,2.08,2.43,0.0,0.0,0.0,0.0,0.0,20.79,21.82,12.97,52.89,21.11,0.0,47.42,54.26,22.1,0,1,0,1,8,+,7+8,+,4216,12868,1.65,10.83,1543,5727
ADDYY,,,2020-12-01,10,166.9,102.27,184.84,19.82,151.73,1.1,0.66,0.0,0.0,6.52,6.52,0.72,0.72,22.18,166.35,94.26,44.1,0.0,3.09,1.0,2.57,2.71,3.09,1.15,0.77,0.86,1.15,35.24,-2.21,3.25,5.17,-7.39,-2.68,0.0,-25.66,-8.09,-2.02,0,1,0,1,1+8,+,1+7+9,+,13344,19844,1.47,1.1,792,1486
AMC,AMC Entertainment Holdings,Leisure & Recreation Services,2020-12-01,10,9.33,1.91,20.36,-6.41,-0.24,-39.15,-419.61,0.03,0.32,0.0,0.0,0.0,0.0,0.0,26.02,13.01,23.19,0.0,-92.78,202.19,-184.63,-112.43,0.0,4.26,4.65,4.28,0.0,16.17,-37.46,-15.86,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1+7+10,1+2+4+9+10,1+2+3+4+7+8+9+10,1+10,2423,1242,-1.84,-39.15,-16,-1130
AMD,AMD,Semiconductors,2020-12-01,10,82.15,48.42,99.23,4.81,39.88,2.06,2.51,0.0,0.0,57.48,57.48,0.09,0.09,0.0,342.67,171.34,121.3,12.4,-10.74,21.76,1.54,-0.19,-10.74,0.0,0.0,0.0,0.0,0.0,22.36,19.59,4.16,0.0,18.12,0.0,272.05,0.0,12.4,0,0,0,0,6+8+9,5+6+7+8+9,2+4+5+6+7+8+9,6+7+8+9,6568,9763,0.66,2.06,382,1071
AMZN,Amazon,Internet Commerce,2020-12-01,10,3399.44,2256.38,3552.25,185.28,81.27,41.83,1.23,0.0,0.0,27.44,27.44,0.9,0.9,74.35,545.07,309.71,241.84,32.38,0.6,0.53,1.29,1.01,0.6,0.0,0.0,0.0,0.0,0.0,29.48,29.26,27.43,104.53,33.89,0.0,89.47,101.8,32.38,1,0,0,1,+,7+9,6+7+8+9+10,+,48077,386064,1.37,41.83,3903,66064
ASML,ASML Holding,Semiconductor - Wafer Fabrication Equipment,2020-12-01,10,645.69,275.96,653.0,39.89,76.14,8.48,1.31,2.54,0.39,26.86,26.86,0.34,0.34,21.21,65.82,43.52,27.29,10.85,3.64,1.85,2.61,2.82,3.64,0.84,0.84,0.84,0.84,25.71,15.58,17.33,11.98,20.7,13.27,0.0,19.98,21.44,10.85,0,1,0,1,9,+,8+9,+,5651,13979,3.42,8.48,2070,4628
ATVI,Activision Blizzard,"Toys, Games and Hobby Products",2020-12-01,10,96.48,62.34,104.53,19.41,34.21,2.82,2.92,0.41,0.42,15.78,15.78,0.24,0.24,19.44,171.62,95.53,37.05,18.83,4.89,2.63,3.87,3.17,4.89,0.92,0.6,0.61,0.92,22.07,4.84,11.63,6.16,19.75,18.05,0.0,98.6,18.83,23.93,0,1,0,1,2+7+8,+,2+4+8,+,4755,8086,0.92,2.82,952,2252
BABA,Alibaba,Internet Commerce,2020-03-01,10,238.69,189.53,319.32,52.83,4.15,57.52,24.1,0.0,0.0,18.91,23.93,0.11,0.18,15.24,54.73,34.98,34.4,41.96,22.28,8.36,20.12,22.28,0.0,0.0,0.0,0.0,0.0,0.0,47.67,46.24,62.95,43.85,64.78,0.0,48.81,41.96,76.57,1,1,0,1,+,+,4+6+9,+,6417,509711,0.34,55.92,2182,180607
BAC,Bank Of America,Banks - Major Regional,2020-12-01,10,39.15,20.1,40.38,29.07,20.94,1.87,4.78,0.72,1.84,6.73,6.73,1.06,1.06,8.49,20.94,14.72,19.73,6.23,5.89,3.13,8.48,7.7,5.89,1.29,2.21,1.86,1.29,17.72,-0.42,0.96,-1.94,2.41,0.0,0.0,6.23,7.38,0.0,0,1,0,0,1+2+6+7+9+10,+,1+7+9+10,9,86094,86266,0.01,1.87,64490,37993
