ticker,name,Price,EPS,52w low,52w high,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,P/E mid,DPayout avg,intrinsic 3Y,intrinsic 5Y,intrinsic 10Y,Price A3,Price A5,Price A10,Price B
AAPL,Apple,134.16,3.71,66.36,145.09,12.52,7.31,19.75,23.34,20.2,24.67,30.88,18.86,18.5,23.16,14.14,92.34
ADBE,Adobe,525.08,11.48,325.21,536.88,47.42,54.26,22.1,56.89,0.0,23.71,20.88,44.89,17.78,15.66,33.67,395.06
ADDYY,,166.9,1.1,102.27,184.84,-25.66,-8.09,-2.02,94.26,35.24,107.08,24.29,16.65,80.31,18.22,12.49,129.52
AMC,AMC Entertainment Holdings,9.33,-39.15,1.91,20.36,0.0,0.0,0.0,13.01,16.17,-454.81,-454.81,-454.81,-341.11,-341.11,-341.11,8.0
AMD,AMD,82.15,2.06,48.42,99.23,272.05,0.0,12.4,171.34,0.0,0.76,20.6,11.46,0.57,15.45,8.6,65.19
AMZN,Amazon,3399.44,41.83,2256.38,3552.25,89.47,101.8,32.38,309.71,0.0,46.67,41.05,121.37,35.0,30.79,91.03,2684.02
ASML,ASML Holding,645.69,8.48,275.96,653.0,19.98,21.44,10.85,43.52,25.71,44.72,42.59,63.17,33.54,31.94,47.38,400.38
ATVI,Activision Blizzard,96.48,2.82,62.34,104.53,98.6,18.83,23.93,95.53,22.07,3.49,15.02,12.7,2.62,11.26,9.52,76.26
BABA,Alibaba,238.69,57.52,189.53,319.32,48.81,41.96,76.57,34.98,0.0,115.63,132.96,74.87,86.72,99.72,56.15,232.36
BAC,Bank Of America,39.15,1.87,20.1,40.38,6.23,7.38,0.0,14.72,17.72,16.02,15.21,22.01,12.02,11.41,16.51,26.79
BK,Bank Of New York Mellon,46.07,3.83,31.24,49.13,0.98,7.16,6.45,10.6,26.69,46.0,33.82,34.96,34.5,25.36,26.22,37.14
BNTX,BioNTech SE,151.54,0.06,38.88,152.32,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.45,0.45,0.45,76.32
BRK.B,Berkshire Hathaway,272.11,17.78,167.04,272.97,-0.81,12.72,12.9,66.42,0.0,185.99,97.56,96.86,139.49,73.17,72.64,202.0
BYND,Beyond Meat,137.31,-0.85,75.33,221.0,0.0,0.0,0.0,0.0,0.0,-8.5,-8.5,-8.5,-6.38,-6.38,-6.38,123.4
CRM,"Salesforce, Inc",231.91,4.38,148.0,284.5,195.35,0.0,43.6,5117.0,0.0,2.24,43.8,9.78,1.68,32.85,7.33,193.04
CSIQ,Canadian Solar,44.11,3.43,15.83,67.39,36.2,-7.19,16.78,23.2,0.0,9.04,52.85,16.11,6.78,39.64,12.08,32.84
CVAC,CureVac,109.29,-0.59,36.15,151.8,0.0,0.0,0.0,0.0,0.0,-5.9,-5.9,-5.9,-4.43,-4.43,-4.43,74.31
DIS,Disney,187.26,-2.74,98.86,203.02,0.0,0.0,0.0,16.32,21.41,-33.27,-33.27,-33.27,-24.95,-24.95,-24.95,133.23
