ticker,nYear,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end,ROE,ROE2,D/E,D/E2,P/E mid,EPS,EPS GR min,EY level,DY level,neg Revenue count,neg EPS count,neg OCF count,Revenue Growth,EPS Growth,OCF Growth,ROE Health,D/E Health,3G2H,PE Value,EPS GR Value
TCEHY,10,19646,377289,0.87,9.64,12319,148590,24.68,24.68,0.45,0.45,5.71,9.64,30.53,5,2,0,0,0,1.0,1.0,1.0,1.0,1.0,5.0,55.04,294.31
V,10,8065,22977,1.0,5.32,2691,12784,43.09,41.83,0.47,0.57,28.12,5.56,19.81,1,0,0,2,0,1.0,0.5,1.0,1.0,1.0,4.5,156.35,110.14
GOOG,10,29321,161857,13.17,49.16,11081,54520,17.83,18.12,0.08,0.07,29.06,49.53,17.01,2,0,0,1,0,1.0,0.5,1.0,1.0,1.0,4.5,1439.34,842.51
ADBE,10,3800,11171,1.47,6.0,1113,4422,31.79,29.67,0.44,0.09,77.82,6.6,23.45,0,0,1,2,0,0.5,0.5,1.0,1.0,1.0,4.0,513.61,154.77
BABA,10,5558,376844,0.28,33.38,0,150975,28.54,20.42,0.16,0.23,3.74,64.98,6.17,5,0,0,3,0,1.0,0.0,1.0,1.0,1.0,4.0,243.03,400.93
NKE,10,19014,39117,0.96,2.49,3164,5903,47.96,42.74,0.69,0.38,38.85,2.71,4.85,1,1,1,1,0,0.5,0.5,1.0,1.0,0.5,3.5,105.28,13.14
MA,10,5539,16883,1.41,7.94,1697,8183,150.46,143.83,2.31,1.45,28.16,7.82,20.7,1,0,0,1,0,1.0,0.5,1.0,1.0,0.0,3.5,220.21,161.87
NVDA,10,3543,10918,0.43,4.52,676,4761,25.95,25.95,0.21,0.21,32.49,4.52,20.71,0,0,2,5,0,0.5,0.0,1.0,1.0,1.0,3.5,146.85,93.61
INTC,10,43623,71965,2.01,4.71,16692,33145,30.25,27.58,0.48,0.33,15.24,5.15,15.31,3,3,3,4,0,0.5,0.0,1.0,1.0,1.0,3.5,78.49,78.85
FB,10,1974,70697,0.17,6.43,698,36314,21.85,19.96,0.09,0.09,45.54,7.29,22.59,2,0,1,4,0,0.5,0.0,1.0,1.0,1.0,3.5,331.99,164.68
PYPL,8,5662,17772,0.63,2.07,1565,4561,12.06,15.24,0.49,0.29,26.13,1.58,21.64,0,0,1,2,0,0.5,0.5,1.0,0.5,1.0,3.5,41.29,34.19
JD,9,21129,576888,-2.88,8.22,-86,24781,17.21,17.21,0.19,0.19,2.14,8.22,0.0,5,0,1,9,2,0.5,0.0,0.5,1.0,1.0,3.0,17.59,0.0
TWTR,10,28,3459,-0.15,1.87,-49,1303,15.95,18.9,0.45,0.36,9.21,1.61,0.0,3,0,2,9,3,0.5,0.0,0.5,1.0,1.0,3.0,14.83,0.0
ADDYY,10,11990,23640,1.35,5.0,894,2819,20.23,30.0,0.6,0.59,29.64,3.49,23.41,1,2,1,2,0,0.5,0.5,1.0,1.0,0.0,3.0,103.44,81.7
BRK.B,10,136185,327223,5.29,33.22,17895,38687,2.7,21.05,0.27,0.23,66.04,3.98,25.37,0,0,1,4,0,0.5,0.0,1.0,0.5,1.0,3.0,262.84,100.97
SBUX,10,10707,26508,0.62,2.92,1705,5047,0.0,0.0,0.0,0.0,1762.68,2.8,15.4,2,3,0,3,0,1.0,0.0,1.0,0.0,1.0,3.0,4935.5,43.12
DIS,10,38063,69570,2.03,6.64,6578,5984,5.97,16.06,0.47,0.42,15.23,2.62,5.04,0,2,1,2,0,0.5,0.5,0.0,0.5,1.0,2.5,39.9,13.2
ORCL,10,26820,39506,1.21,2.97,8681,14551,56.7,32.83,3.46,2.37,33.16,3.14,4.53,3,2,3,3,0,0.5,0.0,1.0,1.0,0.0,2.5,104.12,14.22
NTDOY,10,1434365,1200560,223.48,201.94,160337,170529,15.19,14.22,0.0,0.0,0.97,232.38,127.39,5,5,8,7,3,0.0,0.0,0.5,1.0,1.0,2.5,225.41,29602.89
