ticker,name,industry,Annual,nYear,3G2H,PE Value,EPS GR Value,intrinsic,Price_A,Price_B,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,EY avg,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,check NP,check EPS GR,check OCF,neg Revenue,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end,Revenue Growth,EPS Growth,OCF Growth,ROE Health,D/E Health
QCOM,QUALCOMM,Wireless Equipment Manufacturers,2019-09-01,10,2.0,49.89,48.06,371.62,278.72,70.6,75.77,58.0,96.17,2.71,22.42,3.38,4.46,2.48,3.27,117.15,150.28,4.42,2.74,20.04,0.0,29.52,14.76,15.71,14.22,-1.96,-5.04,14.22,4.97,1.08,3.27,4.97,2.89,3.73,3.67,2.89,43.62,0,0,1,3+4+5,2,1+2+3+5,,10991,24273,1.96,3.59,4076,7286,0.5,0.0,0.5,1.0,0.0
EA,Electronic Arts,"Toys, Games and Hobby Products",2019-03-01,10,2.5,4612.59,1492.91,74.81,56.11,97.08,118.13,85.69,120.19,25.76,11.52,9.54,8.08,0.0,0.0,44.99,20.53,0.14,0.19,8.49,0.0,967.0,483.5,123.24,156.49,-1.65,156.49,0.0,0.71,3.16,3.87,0.71,0.0,0.0,0.0,0.0,0.0,0,0,1,1+4+6+7+9+10,9+10,1+3+5+6+8+9+10,,3654,4950,-2.08,3.33,152,1547,0.0,0.0,0.5,1.0,1.0
ATVI,Activision Blizzard,"Toys, Games and Hobby Products",2019-12-01,10,2.5,186.83,23.29,337.47,253.1,53.1,73.92,41.84,75.97,16.9,36.59,2.02,2.73,0.0,0.0,12.68,12.44,0.21,0.21,18.01,9.98,175.0,92.49,37.73,11.53,15.06,11.53,36.01,4.79,3.0,3.14,4.79,0.99,0.61,0.63,0.99,25.18,1,0,1,1+6+7,+,1+3+7,+,4447,6489,0.33,1.95,1376,1831,0.5,0.0,1.0,0.0,1.0
SPOT,Spotify Technology SA,Technology Services,2019-12-01,5,2.0,-0.0,-0.0,794.15,595.61,127.25,158.83,109.18,163.94,11.71,0.0,-0.44,-0.28,0.0,0.0,-1.92,-9.01,0.31,0.31,-10.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5,1+2+3+4+5,1+2+3+4+5,5,1940,6764,-1.37,-1.03,-38,573,0.5,0.0,0.5,0.0,1.0
NKE,NIKE,Shoes & Related Apparel,2019-05-01,10,3.5,105.28,13.14,505.71,379.28,75.05,86.99,60.0,105.62,5.82,32.1,2.71,3.12,0.93,1.07,47.96,42.74,0.69,0.38,9.92,16.84,60.87,38.85,26.49,4.85,4.85,10.89,12.64,4.27,3.24,3.51,4.27,1.32,1.19,1.17,1.32,33.72,1,0,1,10,+,2,+,19014,39117,0.96,2.49,3164,5903,0.5,0.5,1.0,1.0,0.5
AMD,AMD,Semiconductors,2019-12-01,10,2.5,32.87,0.0,271.0,203.25,37.0,54.2,26.03,59.27,2.59,126.05,0.43,0.79,0.0,0.0,20.19,16.66,0.23,0.24,-3.31,0.0,152.87,76.44,23.15,0.0,0.0,0.0,-3.97,-10.18,0.7,-6.49,-10.18,0.0,0.0,0.0,0.0,0.0,0,0,0,5+7+8,4+5+6+7+8,1+3+4+5+6+7+8,5+6+7+8+10,6494,6731,0.64,0.3,-412,493,0.5,0.0,0.0,1.0,1.0
NVDA,NVIDIA,Semiconductor - General,2020-01-01,10,3.5,146.85,93.61,1168.24,876.18,201.05,339.63,132.6,340.02,19.84,75.14,4.52,1.33,0.64,0.19,25.95,25.95,0.21,0.21,18.76,12.67,52.31,32.49,30.89,20.71,20.71,32.19,0.0,4.23,2.83,2.92,4.23,0.72,0.31,0.54,0.72,16.82,1,0,1,1+7,+,1+5+7+8+10,+,3543,10918,0.43,4.52,676,4761,0.5,0.0,1.0,1.0,1.0
INTC,Intel,Semiconductor - General,2019-12-01,10,3.5,78.49,78.85,268.92,201.69,51.58,58.28,42.86,69.29,18.03,11.29,5.15,8.84,1.27,2.18,30.25,27.58,0.48,0.33,22.24,7.99,22.49,15.24,12.51,15.31,30.49,15.31,19.85,8.85,7.31,7.11,8.85,3.3,2.36,2.64,3.3,38.66,1,0,1,5+7+8,+,3+4+7+8,+,43623,71965,2.01,4.71,16692,33145,0.5,0.0,1.0,1.0,1.0
NXPI,NXP Semiconductors,Semiconductor - Analog & Mixed,2019-12-01,10,1.0,70.55,11.42,338.44,253.83,85.2,90.45,58.41,139.59,32.39,107.68,0.84,0.93,1.38,1.53,2.59,2.44,0.82,0.78,9.03,0.0,167.98,83.99,43.88,13.59,13.59,-17.09,0.0,4.18,5.12,4.65,0.0,0.18,0.55,0.33,0.0,7.92,0,0,1,1+3+9,8+10,1+3+4+7+8+9+10,,4402,8877,-1.99,0.85,369,2373,0.5,0.0,0.5,0.0,0.0
SBUX,Starbucks,Retail - Food & Restaurants,2019-09-01,10,3.0,4935.5,43.12,407.76,305.82,66.42,74.16,50.02,99.72,-6.45,26.39,2.8,3.78,1.54,2.08,0.0,0.0,0.0,0.0,11.49,17.36,3508.0,1762.68,372.79,15.4,15.4,16.6,27.36,3.83,4.28,3.99,3.83,1.54,1.93,1.71,1.54,65.58,1,0,1,+,+,1+6+7,+,10707,26508,0.62,2.92,1705,5047,1.0,0.0,1.0,0.0,1.0
MCD,McDonald's,Retail - Food & Restaurants,2019-12-01,10,2.5,150.77,51.35,1139.14,854.36,156.47,173.81,124.23,221.93,-12.5,22.78,7.63,4.39,4.82,2.77,0.0,0.0,0.0,0.0,21.43,13.16,26.35,19.76,19.37,6.73,13.15,10.33,6.73,5.49,4.01,4.23,5.49,3.17,2.34,2.66,3.17,58.69,1,0,1,2+3+4+5+6,+,5+6,+,24074,21077,4.58,7.88,6342,8122,0.0,0.5,1.0,0.0,1.0
BRK.B,Berkshire Hathaway,"Property, Casualty and Title Insurance",2019-12-01,10,3.0,262.84,100.97,451.73,338.8,183.3,169.25,159.5,231.61,152.91,42.42,3.98,2.35,0.0,0.0,2.7,21.05,0.27,0.23,11.41,6.82,125.26,66.04,25.54,25.37,50.4,32.74,25.37,6.88,8.22,7.61,6.88,0.0,0.0,0.0,0.0,0.0,1,0,1,2,+,1+2+4+9,+,136185,327223,5.29,33.22,17895,38687,0.5,0.0,1.0,0.5,1.0
DIS,Disney,Media Conglomerates,2019-09-01,10,2.5,39.9,13.2,580.69,435.52,103.6,109.05,79.07,153.41,50.05,36.84,2.62,2.4,1.76,1.61,5.97,16.06,0.47,0.42,15.08,10.67,19.79,15.23,16.3,5.04,5.04,9.28,14.2,6.35,6.07,5.94,6.35,1.41,1.47,1.58,1.41,23.13,1,0,1,3,+,1+3,+,38063,69570,2.03,6.64,6578,5984,0.5,0.5,0.0,0.5,1.0
TWTR,Twitter,Internet Software,2019-12-01,10,3.0,14.83,0.0,145.0,108.75,28.53,29.0,20.0,45.85,11.21,17.9,1.61,5.55,0.0,0.0,15.95,18.9,0.45,0.36,-51.97,0.0,18.42,9.21,3.56,0.0,0.0,0.0,0.0,0.09,3.55,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3+10,3+4+5+6+7+8+9+10,2+3+4+5+6+7+8+9+10,8+9+10,28,3459,-0.15,1.87,-49,1303,0.5,0.0,0.5,1.0,1.0
